date,AAPL,MMM
08/02/2013,67.7142,102.34
11/02/2013,68.0714,102.39
12/02/2013,68.5014,102.66
13/02/2013,66.7442,103.03
14/02/2013,66.3599,102.43
15/02/2013,66.9785,103.06
19/02/2013,65.8714,103.42
20/02/2013,65.3842,104.18
21/02/2013,63.7142,102.88
22/02/2013,64.1785,102.99
25/02/2013,64.8356,103.91
26/02/2013,63.4028,102.11
27/02/2013,64.0614,102.1
28/02/2013,63.4357,103.6
01/03/2013,62.5714,103.39
04/03/2013,61.1142,103.51
05/03/2013,60.2114,103.76
06/03/2013,62.0728,104.73
07/03/2013,60.6428,104.8
08/03/2013,61.3999,105
11/03/2013,61.3928,105.33
12/03/2013,62.2285,105.82
13/03/2013,61.2071,105.13
14/03/2013,61.8328,105.33
15/03/2013,62.5614,105.9
18/03/2013,63.0642,105.23
19/03/2013,65.6428,105.83
20/03/2013,65.3456,105.91
21/03/2013,64.3171,105.39
22/03/2013,64.9399,105.1
25/03/2013,66.3842,106.53
26/03/2013,66.4914,105.41
27/03/2013,65.2085,105.35
28/03/2013,64.2599,105.67
01/04/2013,63.1285,106
02/04/2013,61.0857,105.8
03/04/2013,61.6242,106.6
04/04/2013,61.9657,105.82
05/04/2013,60.6428,104.45
08/04/2013,60.6928,105.86
09/04/2013,60.9085,106
10/04/2013,61.1571,106.09
11/04/2013,61.9599,107.86
12/04/2013,62.0214,107.89
15/04/2013,60.9999,107.15
16/04/2013,60.2242,106.69
17/04/2013,60.0385,105.47
18/04/2013,57.8557,105.84
19/04/2013,55.4242,105.31
22/04/2013,56.0914,105.71
23/04/2013,57.7128,106.24
24/04/2013,56.2199,107.61
25/04/2013,58.7464,104.46
26/04/2013,58.5442,104.97
29/04/2013,60.0642,103.91
30/04/2013,62.1571,103.98
01/05/2013,63.4942,104.78
02/05/2013,63.1114,105.04
03/05/2013,64.4728,106.96
06/05/2013,65.1014,107.63
07/05/2013,66.4242,107.61
08/05/2013,65.5771,108.03
09/05/2013,65.6871,108.11
